"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mode","Param: numHash","Param: size","Param: sleep","Param: soft","Param: suffix"
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,4.409705,0.045606,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,147.275330,4.808038,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,22.504420,0.092266,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,115.332982,2.397833,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,68.244164,0.155038,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,175.560767,2.624170,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,34.736862,0.183943,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,59.775345,0.081000,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,117.360910,1.715857,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,4.666771,0.038965,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,32.135466,0.292226,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,94.332565,0.317839,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,31.727287,8.649447,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,4.420337,0.012103,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,2.544395,0.059916,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,116.305945,1.541336,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,2.487736,0.069512,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,66.371756,4.347769,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,64.978615,0.047185,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,67.842250,0.079327,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,219.898348,1.766760,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,89.230599,0.324487,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,32.380664,0.583975,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,116.711496,2.136627,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,174.581508,4.280304,"ops/s",fast,0,0,0,32,ks
